RI,table,variable,type
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_perc8413,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_stddev,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_stddev,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_amean,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_prec1587,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_prec1587,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_perc8413,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_perc8413,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_stddev,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_stddev,double
ACTRIS,actris-in-situ,benzo_b_fluoranthene,double
ACTRIS,actris-in-situ,antimony,double
ACTRIS,actris-in-situ,molybdenum,double
ACTRIS,actris-in-situ,selenium,double
ACTRIS,actris-in-situ,titanium,double
ACTRIS,actris-in-situ,PCB_105,double
ACTRIS,actris-in-situ,PCB_118,double
ACTRIS,actris-in-situ,PCB_138,double
ACTRIS,actris-in-situ,PCB_153,double
ACTRIS,actris-in-situ,PCB_156,double
ACTRIS,actris-in-situ,PCB_28,double
ACTRIS,actris-in-situ,PCB_31,double
ACTRIS,actris-in-situ,PCB_52,double
ACTRIS,actris-in-situ,TOX-26,double
ACTRIS,actris-in-situ,TOX-50,double
ACTRIS,actris-in-situ,TOX-62,double
ACTRIS,actris-in-situ,cis_CD,double
ACTRIS,actris-in-situ,dieldrin,double
ACTRIS,actris-in-situ,op_DDT,double
ACTRIS,actris-in-situ,benzo_k_fluoranthene,double
ACTRIS,actris-in-situ,acenaphthene,double
ACTRIS,actris-in-situ,acenaphthylene,double
ACTRIS,actris-in-situ,benzo_j_fluoranthene,double
ACTRIS,actris-in-situ,naphthalene,double
ACTRIS,actris-in-situ,pyrene,double
ACTRIS,actris-in-situ,1-3-butadiene_ng_per_m3,double
ACTRIS,actris-in-situ,1-3-butadiene_pmol_per_mol,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_amean,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol_uncertainty,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3_uncertainty,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_uncertainty,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_uncertainty,double
ACTRIS,actris-in-situ,particle_number_concentration_amean,double
ACTRIS,actris-in-situ,particle_number_concentration_prec1587,double
