sourceVocabTitle,targetVocabTitle,dtidentifier,dtpreferredLabel,Relationship,identifier,preferredLabel,DateCreated,Creator,mappingUrl,Status
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX025,"Concentration of 2,2',3,4,4',5-hexachlorobiphenyl {PCB137 CAS 35694-06-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD085,"Concentration of 2,2',3,4,4',5-hexachlorobiphenyl {PCB137 CAS 35694-06-5} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531144/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX025,"Concentration of 2,2',3,4,4',5-hexachlorobiphenyl {PCB137 CAS 35694-06-5} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD116,"Concentration of 2,2',3,4,4',5-hexachlorobiphenyl {PCB137 CAS 35694-06-5} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530881/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX024,"Concentration of 2,3,3',4',6-pentachlorobiphenyl {PCB110 CAS 38380-03-9} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD102,"Concentration of 2,3,3',4',6-pentachlorobiphenyl {PCB110 CAS 38380-03-9} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530833/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX024,"Concentration of 2,3,3',4',6-pentachlorobiphenyl {PCB110 CAS 38380-03-9} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD133,"Concentration of 2,3,3',4',6-pentachlorobiphenyl {PCB110 CAS 38380-03-9} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530892/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BXCNUMKG,Concentration of boron {B CAS 7440-42-8} per unit dry weight of sediment by acid digestion and inductively-coupled plasma atomic emission spectroscopy,broader,SDN:P01::SEDSBXXX,Concentration of boron {B CAS 7440-42-8} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532827/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BRCNXTXT,Concentration of bromine {Br CAS 7726-95-6} per unit dry weight of sediment by compression into pellets and X-ray fluorescence,broader,SDN:P01::MBRSP012,Concentration of bromine {Br CAS 7726-95-6} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532833/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BICNICXT,Concentration of bismuth {Bi CAS 7440-69-9} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::SEDSBIXX,Concentration of bismuth {Bi CAS 7440-69-9} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532404/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BECNICXT,Concentration of beryllium {Be CAS 7440-41-7} per unit dry weight of sediment by inductively-coupled plasma mass spectrometry,broader,SDN:P01::SEDSBEXX,Concentration of beryllium {Be CAS 7440-41-7} per unit dry weight of sediment,2018-08-23 01:08:06,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1532820/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BECASDP1,"Concentration standard deviation of beta,epsilon-carotene {alpha-carotene CAS 432-70-2} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",sameAs,SDN:P01::ABCRSDP1,"Concentration standard deviation of beta,epsilon-carotene+beta,beta-carotene {alpha-carotene+beta-carotene} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",2010-06-24 05:06:46,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/173421/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BECASDP1,"Concentration standard deviation of beta,epsilon-carotene {alpha-carotene CAS 432-70-2} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",sameAs,SDN:P01::ACARSDP1,"Concentration standard deviation of beta,epsilon-carotene {alpha-carotene CAS 432-70-2} per unit volume of the water body [particulate >GF/F phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",2014-05-01 02:05:02,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/173424/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::BECAHPP5,"Concentration of beta,epsilon-carotene {alpha-carotene CAS 432-70-2} per unit volume of the water body [particulate >0.2um phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",sameAs,SDN:P01::ABCRHPP5,"Concentration of beta,epsilon-carotene+beta,beta-carotene {alpha-carotene+beta-carotene} per unit volume of the water body [particulate >0.2um phase] by filtration, acetone extraction and high performance liquid chromatography (HPLC)",2010-06-24 05:06:46,Roy Lowry,http://vocab.nerc.ac.uk/mapping/I/173420/,accepted
